student_id,parcel_id,student_name,grade,lon,lat
STU-0151,PAR-100,Isla Davis,K,-78.939975,35.99801
STU-0152,PAR-100,Sophia Davis,K,-78.939975,35.99801
STU-0153,PAR-100,Noah Wilson,4,-78.939975,35.99801
STU-0154,PAR-101,Ethan Johnson,3,-78.930758,36.01665
STU-0155,PAR-102,Lucas Wilson,5,-78.939257,36.000333
STU-0156,PAR-102,Ethan Brown,5,-78.939257,36.000333
STU-0157,PAR-103,Lucas Brown,2,-78.922535,36.01378
STU-0158,PAR-104,Ava Thomas,4,-78.945754,36.012631
STU-0159,PAR-104,Ethan Wilson,K,-78.945754,36.012631
STU-0160,PAR-105,Ava Smith,2,-78.943748,36.00113
STU-0161,PAR-105,Mason Smith,2,-78.943748,36.00113
STU-0162,PAR-106,Isla Lee,1,-78.936733,36.010551
STU-0163,PAR-106,Noah Brown,4,-78.936733,36.010551
STU-0164,PAR-106,Ava Davis,3,-78.936733,36.010551
STU-0165,PAR-107,Noah Wilson,5,-78.94639,36.018783
STU-0166,PAR-107,Sophia Davis,5,-78.94639,36.018783
STU-0167,PAR-107,Sophia Wilson,3,-78.94639,36.018783
STU-0168,PAR-108,Isla Davis,5,-78.921553,35.997824
STU-0169,PAR-109,Mason Brown,K,-78.924379,36.015193
STU-0170,PAR-110,Ethan Lee,1,-78.941081,35.99936
STU-0171,PAR-110,Ethan Davis,3,-78.941081,35.99936
STU-0172,PAR-110,Lucas Brown,4,-78.941081,35.99936
STU-0173,PAR-111,Mia Davis,3,-78.92764,36.001562
STU-0174,PAR-111,Mia Lee,3,-78.92764,36.001562
STU-0175,PAR-111,Ava Brown,5,-78.92764,36.001562
STU-0176,PAR-112,Noah Wilson,K,-78.935757,36.016576
STU-0177,PAR-112,Noah Davis,4,-78.935757,36.016576
STU-0178,PAR-112,Lucas Lee,K,-78.935757,36.016576
